Title,Year,Metacritic,"Sequel, remake, or otherwise based on well-established IP (NOT THE SAME AS ADAPTED)",Subjective Field: Acclaimed Filmmaker,Majority Black Cast / Queer Themes (test to see if this field accurately captures snubs such as If Beale Street Could Talk or Carol),Foreign Language,SpiritNom,Spirit,AstraNom,Astra,AstraCnt,AstraDirNom,AstraDirWin,SAGNom,SAG,DGANom,DGA,WGANom,WGA,PGANom,PGA,CCNom,CCTotalNom,CC,NBRNom,NBR,AFI,GGDirectorNom,GGDirector,GGDramaNom,GGDrama,GGComedyNom,GGComedy,BAFTANom,BAFTA,BAFTACnt,LAFCA,NYFCC,NSFC,Palme dOr,TIFF,Golden Lion,Best Picture Nominee,OscarNoms,DirectingNom,ActingNom,ScreenplayNom,EditingNom,Win
Ferrari,2023,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Iron Claw,2023,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatomy of a Fall,2023,86,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,1,0,0,1,5,1,1,1,1,0
The Zone of Interest,2023,92,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,1,5,1,0,1,0,0
Air,2023,73,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May December,2023,86,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All of Us Strangers,2023,90,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoleon,2023,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All at Once,2022,81,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,14,1,1,0,1,1,0,0,0,1,0,1,0,10,1,0,0,0,0,0,1,11,1,1,1,1,1
Babylon,2022,61,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
